iter	Passed	Remaining
1347	36634	44895
1348	36660	44867
1349	36685	44838
1350	36712	44810
1351	36741	44784
1352	36768	44757
1353	36794	44729
1354	36820	44700
1355	36846	44671
1356	36870	44641
1357	36897	44613
1358	36922	44584
1359	36947	44554
1360	36973	44526
1361	37000	44497
1362	37026	44469
1363	37051	44440
1364	37077	44411
1365	37102	44381
1366	37128	44353
1367	37155	44326
1368	37179	44295
1369	37204	44265
1370	37231	44237
1371	37256	44208
1372	37283	44180
1373	37307	44149
1374	37335	44124
1375	37362	44096
1376	37388	44067
1377	37414	44039
1378	37440	44011
1379	37466	43982
1380	37492	43953
1381	37518	43925
1382	37544	43897
1383	37570	43868
1384	37598	43841
1385	37623	43812
1386	37649	43783
1387	37675	43756
1388	37700	43726
1389	37726	43697
1390	37751	43668
1391	37780	43642
1392	37806	43614
1393	37833	43587
1394	37860	43560
1395	37887	43533
1396	37913	43504
1397	37940	43476
1398	37966	43448
1399	37992	43419
1400	38017	43390
1401	38043	43362
1402	38080	43346
1403	38114	43326
1404	38144	43302
1405	38175	43279
1406	38202	43252
1407	38227	43223
1408	38253	43195
1409	38280	43166
1410	38306	43138
1411	38330	43108
1412	38358	43082
1413	38385	43054
1414	38412	43026
1415	38438	42999
1416	38464	42971
1417	38492	42944
1418	38519	42917
1419	38545	42888
1420	38569	42858
1421	38594	42828
1422	38620	42799
1423	38645	42770
1424	38670	42741
1425	38698	42715
1426	38725	42687
1427	38751	42659
1428	38778	42632
1429	38805	42604
1430	38833	42578
1431	38858	42548
1432	38884	42520
1433	38910	42492
1434	38938	42466
1435	38964	42437
1436	38989	42407
1437	39015	42379
1438	39040	42350
1439	39067	42323
1440	39093	42294
1441	39118	42265
1442	39145	42238
1443	39170	42208
1444	39196	42180
1445	39221	42150
1446	39247	42122
1447	39273	42094
1448	39298	42065
1449	39323	42035
1450	39351	42009
1451	39377	41980
1452	39402	41951
1453	39426	41921
1454	39452	41893
1455	39480	41866
1456	39505	41837
1457	39531	41809
1458	39558	41781
1459	39583	41752
1460	39610	41724
1461	39636	41696
1462	39660	41666
1463	39685	41637
1464	39710	41608
1465	39737	41580
1466	39765	41554
1467	39792	41527
1468	39818	41498
1469	39844	41471
1470	39869	41441
1471	39897	41415
1472	39922	41385
1473	39946	41355
1474	39974	41329
1475	40001	41302
1476	40028	41275
1477	40054	41246
1478	40080	41219
1479	40107	41191
1480	40133	41163
1481	40158	41134
1482	40184	41105
1483	40209	41076
1484	40236	41049
1485	40262	41021
1486	40290	40995
1487	40317	40967
1488	40343	40939
1489	40371	40912
1490	40398	40885
1491	40423	40856
1492	40450	40829
1493	40477	40802
1494	40503	40774
1495	40529	40745
1496	40555	40717
1497	40582	40690
1498	40607	40661
1499	40631	40631
1500	40657	40603
1501	40683	40574
1502	40708	40545
1503	40733	40517
1504	40760	40489
1505	40788	40463
1506	40816	40437
1507	40841	40408
1508	40870	40383
1509	40897	40355
1510	40923	40327
1511	40948	40298
1512	40975	40271
1513	41002	40244
1514	41029	40216
1515	41055	40188
1516	41080	40160
1517	41105	40130
1518	41132	40103
1519	41157	40074
1520	41183	40046
1521	41208	40017
1522	41234	39988
1523	41260	39961
1524	41288	39934
1525	41313	39905
1526	41340	39878
1527	41366	39850
1528	41394	39824
1529	41421	39796
1530	41445	39767
1531	41472	39739
1532	41499	39712
1533	41526	39685
1534	41551	39656
1535	41575	39627
1536	41600	39597
1537	41625	39568
1538	41650	39539
1539	41675	39510
1540	41702	39483
1541	41727	39454
1542	41754	39427
1543	41780	39399
1544	41806	39370
1545	41832	39342
1546	41862	39318
1547	41890	39292
1548	41915	39263
1549	41940	39234
1550	41966	39206
1551	41991	39177
1552	42019	39151
1553	42047	39124
1554	42072	39096
1555	42100	39069
1556	42126	39041
1557	42151	39013
1558	42177	38984
1559	42201	38955
1560	42226	38926
1561	42252	38898
1562	42277	38869
1563	42303	38841
1564	42327	38811
1565	42352	38782
1566	42379	38755
1567	42404	38726
1568	42430	38698
1569	42455	38669
1570	42482	38642
1571	42508	38614
1572	42533	38585
1573	42561	38559
1574	42589	38533
1575	42616	38506
1576	42646	38481
1577	42676	38457
1578	42707	38433
1579	42737	38409
1580	42763	38381
1581	42788	38352
1582	42816	38326
1583	42843	38299
1584	42868	38270
1585	42895	38243
1586	42920	38214
1587	42947	38187
1588	42973	38159
1589	42999	38131
1590	43025	38103
1591	43052	38076
1592	43078	38048
1593	43106	38022
1594	43132	37994
1595	43158	37966
1596	43184	37938
1597	43210	37910
1598	43237	37883
1599	43262	37854
1600	43287	37825
1601	43313	37798
1602	43340	37770
1603	43367	37743
1604	43395	37717
1605	43422	37690
1606	43448	37662
1607	43476	37636
1608	43501	37607
1609	43527	37579
1610	43555	37553
1611	43580	37524
1612	43605	37496
1613	43630	37466
1614	43655	37438
1615	43682	37410
1616	43707	37382
1617	43733	37354
1618	43760	37327
1619	43787	37300
1620	43813	37272
1621	43839	37244
1622	43864	37216
1623	43889	37186
1624	43914	37158
1625	43940	37130
1626	43966	37102
1627	43991	37074
1628	44015	37044
1629	44041	37016
1630	44068	36989
1631	44093	36961
1632	44119	36932
1633	44143	36903
1634	44169	36875
1635	44196	36848
1636	44223	36820
1637	44248	36792
1638	44274	36764
1639	44300	36736
1640	44324	36707
1641	44350	36679
1642	44376	36652
1643	44403	36625
1644	44430	36597
1645	44456	36569
1646	44483	36542
1647	44507	36513
1648	44532	36484
1649	44558	36457
1650	44585	36429
1651	44609	36400
1652	44636	36373
1653	44663	36346
1654	44690	36319
1655	44717	36292
1656	44743	36264
1657	44770	36237
1658	44795	36208
1659	44822	36181
1660	44848	36154
1661	44875	36127
1662	44902	36100
1663	44927	36071
1664	44953	36043
1665	44981	36017
